WORD, PART OF SPEECH, DEFINITION
Perspicacious, adjective, mentally acute or penetratingly discerning
Sapient, adjective, acutely insightful and wise
Zeal, noun, a feeling of strong eagerness
Chicanery, noun, the use of tricks to deceive someone
Saturnine, adjective, bitter or scornful
Tractable, adjective, easily managed
Turpitude, noun, a corrupt or depraved or degenerate act or practice
Wretched, adjective, deserving or inciting pity
Volatile, adjective, liable to lead to sudden change or violence
Viscous, adjective, having a relatively high resistance to flow