WORD, PART OF SPEECH, DEFINITION
Abacus,noun, frame with balls for calculating       
Abate,noun, to lessen to subside        
Abdication,noun, giving up control authority        
Aberration,noun, straying away from what is normal      
Abet,noun, help/encourage someone (in doing wrong)     
Abeyance,noun, suspended action          
Abhor,noun, to hate to detest        
Abide,verb, be faithful to endure        
Abjure,noun, promise or swear to give up      
Abraded,adjective, rubbed off worn away by friction      
Abrogate,adjective, repeal or annul by authority       
Abscond,noun, to go away suddenly (to avoid arrest)     
Abstruse,noun, difficult to comprehend obscure        
Abut,verb, border on          
Abysmal,adjective, bottomless extreme          
Acarpous,adjective, effete no longer fertile worn out      
Acclaimed,adjective, welcomed with shouts and approval       
Accolade,adjective, praise approval          
Accretion,noun, the growing of separate things into one     
Adamant,adjective, kind of stone inflexible        
Admonitory,adjective, containing warning          
Adorn,adjective, add beauty decorate         
Adulteration,noun, making unpure poorer in quality       
Affable,adjective, polite and friendly       
Affinity,noun, close connection relationship         
Aggravate,verb, make worse irritate         
Agile,adjective, active quick-moving          
Agog,adjective, eager/excited         
Ail,adjective, trouble be ill         
Alacrity,noun, eager and cheerful readiness        
Alcove,noun, recess/partially enclosed place       
Allegiance,noun, duty support loyalty         
Alleviate,verb, make (pain) easier to bear       
Alloy,noun, to debase by mixing with something inferior     
Aloof,adjective, reserved indifferent          
Amalgamate,verb, mix combine unite societies        
Ambidextrous,adjective, able to use the left hand or the right equally well 
Ambiguous,adjective, doubtful uncertain          
Ambivalent,adjective, having both of two contrary meanings      
Ameliorate,verb, improve make better         
Amortize,verb, end (a debt) by setting aside money     
Anguish,noun, severe suffering        
Animosity,noun, strong dislike          
Antidote,noun, medicine used against a poison or a disease    
Antithetical,adjective, direct opposing          
Apartheid,noun, brutal racial discrimination         
Aplomb,noun, self-confidence           
Apostate,noun, one who abandons long-held religious or political convictions    
Apotheosis,noun, deification glorification to godliness        
Appease,verb, make quiet or calm        
Apprehensive,adjective, grasping understanding fear unhappy feeling about future     
Apprise,verb, give notice to inform        
Approbation,noun, approval           
Apropos,adjective, appropriate to the situation apt       
Apt,adjective, well-suited quick-witted          
Arabesque,noun, a complex ornate design        
Arboreal,adjective, of connected with trees        
Ardor,noun, enthusiasm           
Arduous,adjective, steep difficult ascent laborious        
Argot,noun, jargon slang          
Arrant,adjective, in the highest degree        
Arrogance,noun, proud superior manner of behaviour       
Articulate,verb, speak distinctly connect by joints       
Ascend,verb, go or come up        
Ascertain,verb, get to know         
Ascetic,adjective, practicing self-denial austere stark        
Ascribe,verb, consider to be the origin of or belonging to   
Aseptic,adjective, surgically clean        
Asperity,noun, roughness harshness ill temper irritability       
Aspersion,noun, slander           
Assail,verb, with attack violently         
Assiduous,adjective, diligent hard-working sedulous         
Assuage,verb, make something (pain desire) less       
Asterisk,noun, the mark * (e.g.. omitted letters)      
Astringent,noun, substance that shrinks         
Astute,adjective, clever quick at seeing to get an advantage    
Atonement,noun, repayment death of Jesus        
Attenuate,verb, make thin. weaken enervate        
Attune,verb, bring into harmony       
Audacious,adjective, daring foolishly bold impudent        
Augury,noun, omen sign          
August,adjective, majestic venerable          
Auspicious,adjective, favorable successful prosperous         
Austere,adjective, severely moral and strict simple and plain     
Auxiliary,adjective, helping supporting          
Aver,verb, affirm assert prove justify        
Aversion,noun, strong dislike          
Avid,adjective, eager greedy          
Avow,verb, admit. Declare openly         
Baleful,adjective, harmful ominous causing evil        
Balk,verb, obstacle purposely to get on the way of    
Baneful,adjective, causing harm or ruin pernicious destructive      
Barrage,noun, artificial obstacle built across a river      
Barren,adjective, not good enough unable to have young ones without value  
Bask,verb, in enjoy warmth and light       
Beatify,verb, to bless make happy or ascribe a virtue to   
Bedizen,verb, to adorn especially in a cheap showy manner    
Belabor,verb, beat hard        
Bellicose,adjective, belligerent pugnacious warlike         
Belligerent,adjective, (person nation) waging war        
Benefactor,noun, person who has given help       
Benevolence,noun, wish or activity in doing good      
Benign,adjective, kind and gentle mild (climate)       
Bequest,noun, arrangement to give something at death      
Berate,verb, scold sharply          
Bereft,verb, rob or dispossess of something (material)      
Bewilder,verb, puzzle confuse          
Bigot,noun, stubborn narrow-minded person         
Bilge,noun, bulge the protuberance of a cask      
Blandishment,noun, flattery coaxing          
Blandness,noun, polite manner comforting uninteresting        
Blatant,adjective, noisy and rough         
Blithe,adjective, cheerful casual carefree         
Bogus,adjective, sham counterfeit not genuine        
Boisterous,adjective, loud noisy rough lacking restraint       
Bolster,verb, give greatly needed support        
Boorish,adjective, crude offensive rude         
Brash,adjective, hasty rush cheeky saucy        
Brass,noun, yellow metal (mixing copper and zinc)      
Brazen,adjective, made of brass         
Breach,noun, opening broken place breaking        
Brittle,adjective, easily broken          
Broach,verb, bring up announce begin to talk about     
Brook,noun, to tolerate endure         
Buoyant,adjective, able to float light-hearted        
Burgeon,verb, grow forth send out buds       
Burnish,verb, to polish rub to a shine      
Cabal,noun, a scheme or plot a group of plotters    
Cadge,verb, to beg to get by begging      
Cajole,verb, use flattery or deceit to persuade    
Calipers,noun, metal supports attached to the legs measuring instrument    
Calumny,noun, slander aspersion          
Candid,adjective, frank straight-forward          
Cant,noun, insincere talk/jargon        
Cantankerous,adjective, bad-tempered/quarrelsome         
Canvass,noun, discuss thoroughly sort of touting       
Castigate,verb, to chastise correct by punishing       
Castigation,noun, severe punishment          
Catalyst,noun, substance that causes speeding up       
Caustic,adjective, biting sarcastic          
Censure,verb, expression of blame or disapproval a rebuke     
Centurion,noun, leader of a unit of 100 soldiers     
Chary,adjective, cautious wary          
Chastened,verb, corrected punished          
Chastisement,noun, punishment           
Chauvinist,noun, a blindly devoted patriot        
Chicanery,noun, legal trickery/false argument       
Chisel,noun, steel tool for shaping materials       
Churl,noun, bad-tempered person          
Clamor,noun, shout complain with a lot of noise     
Clientele,noun, customers         
Clinch,verb, come to grips/settle conclusively      
Cling,verb, to resist separation         
Clot,noun, half-solid lump formed from liquid       
Cloture,noun, closing device (in Parliament) to end a debate by voting  
Coagulation,noun, change to a thick and solid state   
Coalescing,adjective, coming together and uniting into one substance     
Coax,verb, get someone to do something by kindness     
Coda,noun, passage that completes a piece of music   
Coddle,verb, treat with care and tenderness       
Coerce,verb, compel to force to make obedient      
Coeval,noun, of the same period coexisting       
Cogent,adjective, strong convincing          
Cogitate,verb, think deeply mediate         
Cognizant,adjective, being fully aware of        
Colander,noun, bowl-shaped vessel with many holes used to drain off water  
Collusion,noun, secret agreement for a deceitful purpose      
Combustion,noun, process of burning         
Commemorate,verb, keep the memory of        
Commodious,adjective, having plenty of space for what is needed  
Commuter,noun, person who travels regularly        
Complaisance,noun, tending to comply obliging willingness to please     
Compunction,noun, feeling of regret for one's action      
Conceal,verb, hide keep secret         
Conceit,noun, over-high opinion of too much pride      
Conciliatory,noun, reconciling soothing comforting mollifying        
Concord,noun, agreement or harmony         
Concur,verb, agree in opinion happen together       
Condense,verb, increase in density strength make laconic      
Condone,verb, forgive           
Congeal,verb, make or become stiff and solid      
Conjoin,verb, to join together         
Connoisseur,noun, a person with good judgement (e.g.. in art)    
Connotation,noun, suggestion in addition to        
Consequential,adjective, pompous self important         
Console,verb, give comfort or sympathy to       
Conspicuous,adjective, easily seen remarkable         
Consternation,noun, surprise and fear dismay        
Constrain,verb, compel         
Constrict,verb, make tight or smaller        
Consume,verb, get to the end of       
Consummate,verb, perfect/make perfect/complete        
Contemn,verb, to scorn or despise        
Contentious,adjective, argumentative pugnacious combative quarrelsome        
Contiguous,adjective, touching neighboring near         
Contrite,adjective, filled with deep sorrow for wrongdoing      
Contumacious,adjective, insubordinate rebellious          
Conundrum,noun, a riddle dilemma enigma        
Conviction,noun, convincing firm belief         
Convoke,verb, call together summon         
Convoluted,adjective, complicated coiled twisted         
Cordial,adjective, warm and sincere         
Cordon,noun, line (of police acting as a guard)     
Cornucopia,noun, abundant supply        
Corporeal,noun, physical of or for the body      
Correlate,noun, have a mutual relation        
Corroboration,noun, additional strengthening evidence         
Countenance,noun, to favor or approve of       
Counterfeit,noun, forgery           
Countervail,noun, counterbalance           
Covert,adjective, disguised           
Covetous,adjective, eagerly desirous          
Cower,verb, crouch shrink back         
Coy,adjective, shy/modest   
Crass,adjective, very great (es. stupidity)      
Cravat,noun, piece of linen worn as a necktie   
Craven,adjective, cowardly           
Crease,noun, line made by crushing white line on the ground in cricket 
Credulity,noun, too great a readiness to believe things     
Credulous,adjective, ready to believe things        
Crush,verb, press lose shape subdue overwhelm       
Cryptic,adjective, secret with a hidden meaning       
Cumbersome,adjective, burdensome heavy and awkward to carry      
Curmudgeon,noun, bad-tempered person          
Curriculum,noun, course of study         
Cursory,adjective, quick hurried          
Curtail,verb, make shorter then was planned       
Dainty,adjective, pretty/delicate(food)/difficult to please       
Daunt,verb, intimidate make fearful         
Dawdler,noun, person who is slow waste of time     
Dearth,noun, shortage           
Debacle,noun, a breakup overthrow sudden disaster       
Decorum,noun, propriety properness          
Decree,adjective, order given by authority        
Decry,noun, disapprove of          
Defer,verb, postpone give way (to show respect)      
Deferential,adjective, showing respect          
Defiance,noun, open disobedience or resistance        
Delineate,verb, to portray depict sketch out       
Deluge,noun, great flood heavy rush of water      
Demagogue,noun, person appealing not to reasons       
Demur,verb, to hesitate raise objections        
Denigrate,verb, blacken belittle sully defame        
Denouement,noun, an outcome or solution the unraveling of a plot   
Deplete,verb, use until none remains        
Deposition,noun, dethronement depositing          
Deprave,verb, make morally bad corrupt        
Deprecate,verb, protest against express disapproval of       
Dereliction,noun, deserting and leaving to fall into ruins     
Derision,noun, ridicule mockery deriding         
Derivative,adjective, unoriginal obtained from another source       
Derogatory,adjective, insulting tending to damage        
Descry,verb, catch sight of see something in the distance    
Desiccant,adjective, substance used to absorb moisture       
Desuetude,noun, cessation of use disuse        
Desultory,adjective, aimless haphazard digressing at random       
Deter,verb, discourage hinder          
Detraction,noun, slandering verbal attack aspersion        
Detumescence,noun, diminishing or lessening of swelling       
Deviance,noun, being different in moral standards (from normal)     
Dexterity,noun, skill (esp. in handling)        
Diaphanous,adjective, transparent gauzy          
Diatribe,noun, bitter and violent attack in words      
Diffidence,noun, shyness           
Dilate,verb, speak comprehensively become wider large       
Disallow,verb, refuse to allow or accept as a correct    
Discern,verb, see with an effort but clearly      
Discomfit,verb, confuse embarrass          
Disconcert,verb, upset the self-possession of        
Discountenance,noun, refuse to approve of        
Discourse,noun, speech lecture          
Discredit,verb, refuse to believe         
Discreet,adjective, careful/prudent         
Discrete,adjective, individually distinct        
Disdain,noun, look on with contempt        
Disencumber,verb, free from encumbrance         
Disheveled,adjective, untidy           
Disingenuous,adjective, sophisticated artful trying to deceive cunning      
Disinter,verb, dig up from the earth       
Dislodge,verb, move force from the place occupied      
Dismal,adjective, sad gloomy miserable         
Disparate,adjective, essentially different          
Disproof,noun, proof to the contrary      
Dissemble,adjective, speak or behave so as to hide something (in mind)  
Disseminate,verb, distribute (esp. ideas)         
Dissent,verb, have a different opinion refuse to assent     
Dissolution,noun, disintegration looseness in morals        
Distraught,adjective, distracted violently upset in mind       
Divergence,noun, getting farther apart from a point      
Divestiture,noun, taking off getting rid of giving up     
Divulge,verb, make known something secret        
Doggerel,noun, trivial poorly constructed verse        
Dogmatic,adjective, positive certain arbitrary without room for discussion     
Dolt,noun, stupid fellow          
Dormant,adjective, in a state of inactivity but awaiting development    
Dote,verb, show much fondness center one's attention      
Drawl,noun, slow way of speaking      
Droll,adjective, jesting         
Drone,noun, male bee person who isn't self-employed      
Drowsiness,noun, feeling sleepy half asleep        
Dubious,adjective, feeling doubt          
Dud,noun, no use person something that fails      
Dulcet,adjective, melodious harmonious          
Dupe,verb, cheat make a fool of       
Duplicity,noun, deliberate deception          
Duress,noun, threats to compel someone        
Dwarf,noun, person or someone much below the usual size    
Dynamo,noun, a generator something that produces electric current     
Earthenware,noun, dishes made of baked clay       
Ebullience,noun, exuberance outburst of feeling        
Ebullient,adjective, overflowing with enthusiasm showing excitement       
Ecumenical,adjective, representing the whole Christian world       
Edacious,adjective, voracious devouring          
Eddy,noun, circular or spiral movement (e.g.. of wind)     
Edible,adjective, fit to be eaten/not poisonous     
Effete,adjective, infertile worn out weak        
Efficacy,noun, production of a desired result       
Effluvia,noun, outflow in a stream of particles a noxious odor or vapor 
Effrontery,noun, boldness impudence arrogance         
Egress,noun, way out exit         
Elaborate,adjective, worked out with much care in great detail    
Elegy,noun, a lament a melancholy composition       
Elicit,verb, draw out          
Eloquence,noun, fluent speaking skillful use of language      
Emaciate,verb, make thin and weak        
Embellish,adjective, make beautiful          
Embezzle,verb, use in a wrong way for one's own benefit   
Emote,verb, stir up excite         
Empirical,adjective, relying on experiment         
Encapsulate,verb, enclose in capsule         
Encomium,noun, warm or glowing praise eulogy panegyric      
Encumbrance,noun, burden things that get on the way of    
Endearing,adjective, making dear or liked        
Endemic,adjective, epidemic           
Endorse,verb, write one's name on the back of     
Enduring,adjective, lasting           
Enervate,verb, weaken deprive of strength attenuate       
Engender,verb, cause produce give rise to       
Engrave,verb, impress deeply          
Engrossing,adjective, taken up all the time or attention writing in large or formal
Engulf,verb, swallow up          
Enigma,noun, something that is puzzling        
Enmity,noun, hatred being an enemy        
Ensign,noun, flag/badge         
Entangle,verb, put into difficulties         
Enthral,adjective, please greatly/enslave (fig)       
Entice,verb, tempt or persuade       
Entreat,verb, ask earnestly          
Enunciate,verb, pronounce (words)/express a theory      
Enzyme,noun, catalyst           
Epicurean,adjective, devoted to pleasure (sensuous enjoyment)       
Epistle,noun, letter           
Epithet,noun, adjective           
Epitome,noun, brief summary representative example a typical model     
Equable,adjective, steady regular          
Equanimity,noun, calmness of temperament         
Equilibrium,noun, state of being balanced        
Equipoise,noun, equal distribution of weight equilibrium       
Equivocal,adjective, having a double or doubtful meaning suspicious     
Equivocate,noun, try to deceive by equivocal language      
Eradicate,verb, get rid of pull up by the roots    
Erratic,adjective, irregular in behaviour or opinion       
Erudite,adjective, learned scholarly          
Eschew,verb, avoid         
Esoteric,adjective, abstruse intended only for a small circle of    
Espouse,verb, marry give one's support to       
Eulogy,noun, formal praise panegyric         
Euphoria,noun, elation state of pleasant excitement       
Euthanasia,noun, easy and painless death        
Evasive,adjective, tending to evade       
Evince,verb, to show clearly to indicate       
Evoke,verb, call up bring out        
Excoriation,noun, severe criticism          
Exculpate,noun, to clear from a charge of guilt     
Exhaustive,adjective, complete thorough          
Exigency,noun, emergency an urgent situation        
Exoneration,noun, set someone clear free (e.g.. from blame)     
Exorbitant,adjective, much too high or great       
Expatiate,verb, to roam wander freely        
Expedient,adjective, likely to be useful for a purpose     
Expiation,noun, ending expiring          
Exploit,verb, brilliant achievement develop use selfishly       
Expostulate,verb, argue earnestly to dissuade correct or protest     
Expurgate,verb, to remove obscenity purify censor       
Exscind,verb, to cut out cut away       
Extant,adjective, still in existence         
Extempore,noun, without previous thought or preparation     
Extenuate,verb, reduce the strength of lessen seriousness partially excuse    
Extinct,adjective, no longer active         
Extinguish,verb, end the existence of/wipe or put out   
Extirpate,verb, to destroy exterminate cut out exscind      
Extol,verb, praise highly          
Extort,verb, obtain by threats violence        
Extralegal,noun, outside the law         
Extricable,adjective, that can be freed        
Extrovert,noun, cheerful person          
Exuberance,noun, state of growing vigorously being full of life    
Facetious,adjective, humorous funny jocular         
Facile,adjective, easily done          
Fallacious,adjective, based on error         
Falter,verb, waver/move in an uncertain manner     
Fatuous,adjective, without sense foolish self-satisfaction        
Fawn,noun, young deer try to win someone's favor     
Feckless,adjective, lacking purpose or vitality ineffective careless      
Fecund,adjective, fertile           
Feint,verb, pretend           
Felicitous,adjective, apt suitably expressed well chosen apropos      
Felon,noun, person guilty of murder        
Ferment,verb, substance become excited         
Ferocity,noun, savage cruelty          
Ferret,noun, discover by searching search        
Fervid,adjective, showing earnest feeling         
Fervor,noun, warmth of feelings earnestness        
Fetid,adjective, stinking         
Fetter,noun, to shackle put in chains       
Feud,noun, bitter quarrel over a long period of time    
Fidelity,noun, loyalty accuracy          
Fidget,verb, move restlessly make nervous        
Figurehead,noun, carved image on the prow of a ship    
Finesse,noun, delicate way of dealing with a situation     
Finical,adjective, too fussy about food clothing etc.      
Finicky,adjective, finical           
Fission,noun, splitting or division (esp. of cells)      
Fixate,verb, stare at          
Flak,noun, criticism/anti-aircraft guns        
Flamboyant,adjective, brightly colored florid         
Flaunting,verb, show off complacently         
Flax,noun, pale yellow (hair) a plant       
Fledged,adjective, able to fly trained experienced       
Fleet,noun, number of ships quick-moving        
Flinch,verb, draw move back wince        
Flop,verb, fail/move/fall clumsily        
Florid,adjective, very much ornamented naturally red (e.g.. of face)    
Flout,verb, reject mock to go against (as in going against tradition)  
Fluke,noun, lucky stroke        
Fluster,verb, make nervous or confused        
Foible,noun, defect of character (a person is wrongly proud)    
Foil,noun, prevent from carrying out contrast       
Foment,verb, put something warm (to lessen the pain)     
Foolproof,adjective, incapable of failure or error     
Foppish,adjective, like a man who pays too much attention to his clothes 
Forage,verb, food for horses and cattle     
Forbear,adjective, refrain from be patient ancestor       
Forbearance,noun, patience willingness to wait        
Ford,noun, shallow place in a river (to cross)     
Forestall,verb, prevent by taking action in advance preempt     
Forfeit,noun, suffer the loss of something       
Forge,noun, workshop for the shaping of metal to shape metal lead  
Forgery,noun, counterfeit           
Forswear,adjective, renounce disallow repudiate         
Foster,noun, nurture care for         
Fracas,noun, noisy quarrel        
Fragile,adjective, easily injured broken or destroyed       
Fragrant,adjective, sweet-smelling           
Frantic,adjective, wildly excited with joy pain anxiety      
Frenetic,adjective, frantic frenzied          
Fret,verb, worry irritation wear away        
Fringe,noun, edge ornamental border part of hair over the forehead   
Froward,adjective, intractable not willing to yield or comply stubborn    
Frugal,adjective, careful economical          
Fulmination,noun, bitter protest          
Fulsome,adjective, disgusting offensive due to excessiveness       
Gainsay,verb, to deny to oppose
Garble,verb, make unfair selection from facts     
Garment,noun, article of clothing         
Garner,verb, to gather and save to store up     
Garrulity,adjective, talkativeness           
Garrulous,adjective, too talkative          
Gaucherie,noun, socially awkward tactless behavior        
Germane,adjective, relevant pertinent to         
Gist,noun, the point general sense        
Glean,verb, gather facts in small quantities       
Glib,adjective, ready and smooth but not sincere      
Glimmer,noun, weak/unsteady light        
Gloat,verb, over look at with selfish delight      
Glut,noun, supply to much fill to excess      
Gnaw,verb, waste away bite steadily        
Goad,noun, something urging a person to action      
Gorge,verb, eat greedily/narrow opening with a stream    
Gossamer,adjective, soft light delicate material        
Gouge,noun, tool for cutting grooves in wood      
Grandiloquent,adjective, using pompous words       
Grave,noun, serious requiring consideration         
Graze,verb, touch or scrape lightly in passing    
Gregarious,adjective, living in societies liking the company      
Grievous,adjective, causing grief or pain serious dire grave     
Grovel,verb, crawl humble oneself         
Guile,noun, deceit cunning          
Gullible,adjective, easily gulled          
Gush,verb, burst out suddenly/talk ardently      
Gust,noun, outburst of feeling sudden rain wind fire etc.    
Hack,verb, cut roughly hired horse        
Halcyon,adjective, calm and peaceful       
Hallow,adjective, to make holy consecrate        
Harangue,noun, a long passionate speech        
Harbinger,noun, something or someone that foretells the coming of    
Harrow,noun, to distress create stress or torment      
Haughty,adjective, arrogant conceited          
Heed,verb, attention/give notice to       
Heinous,adjective, odious (of crime)         
Heresy,noun, belief contrary to what is generally accepted     
Hermetic,adjective, sealed by fusion         
Heterogeneous,adjective, made up of different kinds       
Hew,verb, make by hard work cut (by striking)     
Highbrow,noun, (person) with superior tastes      
Hirsute,adjective, hairy shaggy          
Hoax,noun, mischievous trick played on someone for a joke    
Hoi,noun, polloi the masses the rabble       
Hollow,adjective, not soled with hole        
Holster,noun, leather case for a pistol       
Homiletics,noun, act of preaching       
Hone,verb, stone used for sharpening tools       
Hoodwink,verb, trick mislead          
Hospitable,adjective, liking to give hospitality        
Hubris,noun, arrogant pride          
Hush,verb, make or become silent      
Husk,noun, worthless outside part of anything       
Hypocrisy,noun, falsely making oneself appear to be good     
Iconoclast,noun, person who attacks popular beliefs       
Idiosyncrasy,noun, personal mannerism          
Idolatry,noun, excessive admiration of         
Idyll,noun, a carefree episode or experience       
Ignoble,adjective, dishonorable common undignified         
Ignominious,adjective, shameful dishonorable undignified disgraceful        
Illicit,adjective, unlawful forbidden          
Imbroglio,noun, complicated and embarrassing situation        
Immaculate,adjective, pure faultless          
Imminent,adjective, likely to come or happen soon      
Immutable,adjective, that cannot be changed        
Impair,verb, worsen diminish in value        
Impassive,adjective, unmoved feeling no sign of passion      
Impecunious,adjective, having little or no money       
Impede,verb, hinder get in the way of      
Impediment,noun, something that hinders (e.g. stammer)       
Impending,adjective, imminent being about to happen expected      
Imperative,adjective, urgent essential          
Imperious,adjective, commanding haughty arrogant         
Impermeable,adjective, that cannot be permeated        
Imperturbable,adjective, calm not capable of being excited      
Impervious,adjective, not allowing to pass through (of materials)     
Imperviousness,noun, haughty arrogant commanding         
Impetuous,adjective, having sudden energy impulsive thrusting ahead forceful     
Impiety,noun, lack of reverence or dutifulness       
Implacable,adjective, incapable of being placated unpleasable       
Implicate,verb, show that someone has a share      
Implicit,adjective, implied though not plainly expressed       
Implosion,noun, collapse bursting inward         
Importune,noun, beg urgently solicit (of a prostitute)      
Imprecation,noun, an invocation of evil a curse      
Impromptu,adjective, without preparation          
Impudent,adjective, rash indiscreet          
Impugned,adjective, challenged to be doubted        
Impute,verb, to attribute to a cause or source ascribe    
Inadvertent,adjective, not paying proper attention        
Inane,adjective, silly senseless          
Inasmuch,adjective, since because          
Incense,verb, make angry          
Incessant,adjective, often repeated continual         
Inchoate,adjective, not yet fully formed rudimentary elementary      
Incipient,noun, beginning         
Incise,verb, engrave make a cut in       
Incite,verb, stir up rouse         
Inclined,verb, directing the mind in a certain direction     
Incongruous,adjective, out of place not in harmony or agreement    
Incorrigibility,noun, cannot be cured or corrected       
Incredulous,adjective, skeptical unwilling to believe        
Inculcate,noun, fix firmly by repetition        
Incumbents,noun, official duties          
Incursion,noun, a raid a sudden attack       
Indefatigability,noun, not easily exhaustible tirelessness        
Indelible,adjective, that cannot be rubbed out       
Indigence,noun, poverty           
Indigenous,adjective, native           
Indistinct,adjective, not easily heard seen clearly marked      
Indolence,noun, laziness           
Indomitable,adjective, not easily discouraged or subdued       
Indulge,verb, gratify give way to satisfy allow oneself     
Indulgent,adjective, inclined to indulge         
Ineffable,adjective, to great to be described in words     
Ineluctable,adjective, certain inevitable          
